sk_ramo_atividade;cd_cnae;de_ramo;de_divisao;cd_atividade;de_atividade
1435;82;Serviços Administrativos;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;8299707;FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS
3110;1;Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;0113000;CULTIVO DE AMENDOIM
3424;68;Serviços Administrativos;ATIVIDADES IMOBILIÁRIAS;6810201;LOTEAMENTO DE IMOVEIS PROPRIOS
3050;1;Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;0155501;CRIACAO DE FRANGOS PARA CORTE
4100;33;Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;3314712;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
591;47;Varejo;COMÉRCIO VAREJISTA;4759899;ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO
2636;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4330404;CARGA E DESCARGA
592;47;Varejo;COMÉRCIO VAREJISTA;4789001;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS
3207;86;Serviços de Saúde;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;8630502;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS
3431;68;Serviços Administrativos;ATIVIDADES IMOBILIÁRIAS;6810201;CONSTRUCAO DE EDIFICIOS
593;47;Varejo;COMÉRCIO VAREJISTA;4772500;COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS
4253;20;Química-Petroquímica;FABRICAÇÃO DE PRODUTOS QUÍMICOS;2063100;FABRICACAO DE SABOES E DETERGENTES SINTETICOS
4109;33;Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;3314711;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
2867;95;Serviços Profissionais e Técnicos;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS;9511800;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO
595;47;Varejo;COMÉRCIO VAREJISTA;4755503;COMERCIO VAREJISTA DE CALCADOS
3658;49;Transporte;TRANSPORTE TERRESTRE;4929901;CHAVEIROS
596;47;Varejo;COMÉRCIO VAREJISTA;4721104;CANTINAS  SERVICOS DE ALIMENTACAO PRIVATIVOS
597;47;Varejo;COMÉRCIO VAREJISTA;4729699;COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES
3413;68;Serviços Administrativos;ATIVIDADES IMOBILIÁRIAS;6810202;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO
2731;2;Produtos de Agropecuária;PRODUÇÃO FLORESTAL;0230600;COMPRA E VENDA DE IMOVEIS PROPRIOS
598;47;Varejo;COMÉRCIO VAREJISTA;4782201;FABRICACAO DE GELO COMUM
2850;61;Telecom;TELECOMUNICAÇÕES;6190699;RECARGA DE CARTUCHOS PARA EQUIPAMENTOS DE INFORMATICA
4081;33;Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;3321000;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
599;47;Varejo;COMÉRCIO VAREJISTA;4789002;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
407;47;Varejo;COMÉRCIO VAREJISTA;4783101;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA
1721;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520007;INSTALACAO E MANUTENCAO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILACAO E REFRIGERACAO
600;47;Varejo;COMÉRCIO VAREJISTA;4712100;COMERCIO VAREJISTA DE BICICLETAS E TRICICLOS, PECAS E ACESSORIOS
3046;1;Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;0113000;CULTIVO DE MANDIOCA
1561;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4541204;COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS
2894;95;Serviços Profissionais e Técnicos;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS;9511800;HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS
601;47;Varejo;COMÉRCIO VAREJISTA;4723700;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA
535;47;Varejo;COMÉRCIO VAREJISTA;4772500;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA
1853;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4637199;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
4805;7;Mineração;EXTRAÇÃO DE MINERAIS METÁLICOS;0724301;EXTRACAO DE AREIA, CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO
4121;33;Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;3329501;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO
2328;42;Indústria da Construção;OBRAS DE INFRA-ESTRUTURA;4221902;CONSTRUCAO DE ESTACOES E REDES DE DISTRIBUICAO DE ENERGIA ELETRICA
4125;33;Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;3314712;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR, EXCETO ANDAIMES
603;47;Varejo;COMÉRCIO VAREJISTA;4783101;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL
4739;28;Siderúrgica-Metalurgia;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;2832100;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE
2230;64;Bens de Capital;ATIVIDADES DE SERVIÇOS FINANCEIROS;6499901;CLUBES DE INVESTIMENTO
3460;68;Serviços Administrativos;ATIVIDADES IMOBILIÁRIAS;6822600;OUTRAS OBRAS DE ENGENHARIA CIVIL NAO ESPECIFICADAS ANTERIORMENTE
2251;64;Bens de Capital;ATIVIDADES DE SERVIÇOS FINANCEIROS;6462000;AGENCIAS DE PUBLICIDADE
2765;69;Serviços Profissionais e Técnicos;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;6920601;ARTES CENICAS, ESPETACULOS E ATIVIDADES COMPLEMENTARES NAO ESPECIFICADAS ANTERIORMENTE
4424;25;Siderúrgica-Metalurgia;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;2511000;FABRICACAO DE ESQUADRIAS DE METAL
